,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,,121,Full Plattr Whole Chkn,110,,,,,
,,,122,Meal Plattr Whole Chkn,110,,,,,
,,,123,Jumbo Plattr 2 Whole Chkn,220,,,,,
,,,124,Wings Platter,100,,,,,
,,,125,Full Chicken Platter,119,,,,,
,,,126,Wings Platter Meal,99,,,,,
,,,127,Majlis Platter,225,,,,,
,,,128,Nando's Platter,139,,,,,
,,,129,Full Platter,115,,,,,
,,,130,Jumbo Platter,227,,,,,
,,,131,More to Share Platter,159,,,,,
,Page,,,,,,,,,
,BURG PITAS WRAP,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,151,Chkn Wrap,26,,,,,
,,,152,Chkn Wrap 2 Sides,44,,,,,
,,,153,Chkn Wrap Combo 1,39,,,,,
,,,154,Chkn Wrap Combo 2,47,,,,,
,,,155,Chkn Breast Burger,26,,,,,
,,,156,Chkn Breast Burger 2 Side,44,,,,,
,,,157,Chkn Breast Brgr Cmb 1,39,,,,,
,,,158,Chkn Breast Brgr Cmb 2,47,,,,,
,,,159,Chkn Caesar Wrap,27,,,,,
,,,160,Chkn Caesar Wrap 2 Sides,45,,,,,
,,,161,Chkn Caesar Wrap Cmb 1,40,,,,,
,,,162,Chkn Caesar Wrap Cmb 2,48,,,,,
,,,163,Chkn Pita,24,,,,,
,,,164,Chkn Pita 2 Sides,42,,,,,
,,,165,Chkn Pita Cmb 1,37,,,,,
,,,166,Chkn Pita Cmb 2,45,,,,,
,,,167,Nandoca's Choice,37,,,,,
,,,168,Nandoca's Choice 2 Sides,55,,,,,
,,,169,Nandoca's Choice Cmb 1,50,,,,,
,,,170,Nandoca's Choice Cmb 2,58,,,,,
,,,171,Mighty Sandwich,26,,,,,
,,,172,Mighty Sandwich 2 Sides,44,,,,,
,,,173,Chkn Wrap 1 Side,34,,,,,
,,,174,Chkn Breast Burger 1 Side,34,,,,,
,,,175,Chkn Caesar Wrap 1 Side,35,,,,,
,,,176,Chkn Pita 1 Side,32,,,,,
,,,177,Nandoca's Choice 1 Side,45,,,,,
,,,178,Mighty Sandwich 1 Side,34,,,,,
,,,179,Chkn Caesar Wrap,29,,,,,
,,,180,Chkn Caesar Wrap 1 Side,37,,,,,
,Page,,,,,,,,,
,BURG PITAS WRAP +,,,,,,,,,
Page:,,3,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,181,Steak Sandwich,34,,,,,
,,,182,Steak Sandwich 2 Sides,52,,,,,
,,,183,Steak Burger Combo 1,47,,,,,
,,,184,Steak Burger Combo 2,55,,,,,
,,,185,Steak Sandwich 1 Side,42,,,,,
,,,186,Avo & Feta Burger,26,,,,,
,,,187,Avo & Feta Burger 1 Side,36,,,,,
,,,188,Avo & Feta Burger 2 Sides,46,,,,,
,,,189,Avo & Feta Pita,26,,,,,
,,,190,Avo & Feta Pita 1 Sides,36,,,,,
,,,191,Avo & Feta Pita 2 Sides,46,,,,,
,,,192,Avo & Feta Wrap,26,,,,,
,,,193,Avo & Feta Wrap 1 Side,36,,,,,
,,,194,Avo & Feta Wrap 2 Sides,46,,,,,
,,,195,Nando's Classic w/ Sides,34,,,,,
,,,196,PERi-Cheese w/ Sides,35,,,,,
,,,197,Avo & Feta Smash w/ Sides,36,,,,,
,,,198,Nando's Classic,26,,,,,
,,,199,PERi-Cheese,27,,,,,
,,,200,Avo & Feta Smash,28,,,,,
,,,201,Cheese Carnival CMB,45,,,,,
,,,202,Dukkah-Dusted CMB,45,,,,,
,,,203,Cheese Carnival + 1 Side,38,,,,,
,,,204,Dukkah-Dusted + 1 Side,38,,,,,
,,,205,Nando's Classic,27,,,,,
,,,206,PERi-Cheese,29,,,,,
,,,207,Avo & Feta Smash,32,,,,,
,,,208,Nando's Classic 1 Side,35,,,,,
,,,209,PERi-Cheese 1 Side,37,,,,,
,,,210,Avo & Feta Smash 1 Side,39,,,,,
,Page,,,,,,,,,
,PERI-PERI VEG,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,211,Blk Mus Hlmi Wrp,25,,,,,
,,,212,Blk Mus Hlmi Wrp 2 Sides,43,,,,,
,,,213,Blk Mush Hllmi Wrap C 1,38,,,,,
,,,214,Blk Mush Hllmi Wrap C 2,46,,,,,
,,,215,Veggie Burger,24,,,,,
,,,216,Veggie Burger 2 Sides,42,,,,,
,,,217,Veggie Burger Combo 1,37,,,,,
,,,218,Veggie Burger Combo 2,45,,,,,
,,,219,Roastd Veg Wrap,26,,,,,
,,,220,Roastd Veg Wrap 2 sides,44,,,,,
,,,221,Roasted Vggie Wrap Cmb 1,39,,,,,
,,,222,Roasted Vggie Wrap Cmb 2,47,,,,,
,,,223,Mush & Paneer Wrap,25,,,,,
,,,224,Mush & Paneer Wrap Meal,43,,,,,
,,,225,Blk Mus Hlmi Wrp 1 Side,33,,,,,
,,,226,Veggie Burger 1 Side,32,,,,,
,,,227,Roastd Veg Wrap 1 Side,34,,,,,
,,,228,Veg Pita,24,,,,,
,,,229,Veg Pita 1 Side,32,,,,,
,,,230,Veg Pita 2 Sides,42,,,,,
,,,231,Blk Mus Hlmi Wrp,27,,,,,
,,,232,Blk Mus Hlmi Wrp 1 Side,35,,,,,
Page:,,4,,,,,,,,
,Page,,,,,,,,,
,SIDES,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,241,Reg Spicy Rice,11,,,,,
,,,242,Reg Coleslaw,11,,,,,
,,,243,Reg Peri Chips,11,,,,,
,,,244,Reg Chargrilled Veg,11,,,,,
,,,245,Reg Garlic Bread,11,,,,,
,,,246,Reg 3 Bean Salad,11,,,,,
,,,247,Reg PERI Wedges,11,,,,,
,,,248,Reg Corn-on-the-COB,11,,,,,
,,,249,Reg Spinach,11,,,,,
,,,250,Lrg Spicy Rice,19,,,,,
,,,251,Lrg Coleslaw,19,,,,,
,,,252,Lrg Peri Chips,19,,,,,
,,,253,Lrg Chargrilled Veg,19,,,,,
,,,254,Lrg Garlic Bread,19,,,,,
,,,255,Lrg 3 Bean Salad,19,,,,,
,,,256,Lrg PERI Wedges,19,,,,,
